Load ,Extension ,Time ,Crosshead 
kN,mm,sec,mm
-0.619468139648437,-0.022122883819975,0.449999988079071,-0.022122883819975
-0.620106872558594,-0.022122883819975,0.550000011920929,-0.022122883819975
-0.620203796386719,-0.022122883819975,0.649999976158142,-0.022122883819975
-0.619756225585937,-0.022122883819975,0.75,-0.022122883819975
-0.620122375488281,-0.022122883819975,0.850000023841858,-0.022122883819975
-0.619604553222656,-0.022122883819975,0.949999988079071,-0.022122883819975
-0.620321594238281,-0.022122883819975,1.04999995231628,-0.022122883819975
-0.620652587890625,-0.022122883819975,1.14999997615814,-0.022122883819975
-0.620373596191406,-0.022122883819975,1.25,-0.022122883819975
-0.620550354003906,-0.022122883819975,1.35000002384186,-0.022122883819975
-0.620352905273438,-0.022122883819975,1.45000004768372,-0.022122883819975
-0.619410827636719,-0.022122883819975,1.54999995231628,-0.022122883819975
-0.619887145996094,-0.022122883819975,1.64999997615814,-0.022122883819975
-0.61998388671875,-0.022122883819975,1.75,-0.022122883819975
-0.620177612304687,-0.022122883819975,1.85000002384186,-0.022122883819975
-0.620258728027344,-0.022122883819975,1.95000004768372,-0.022122883819975
-0.619133361816406,-0.022122883819975,2.04999995231628,-0.022122883819975
-0.620022644042969,0,0.00400000018998981,0
-0.8488447265625,0.0811731952126138,0.104000002145767,0.0830531353130937
-1.25961596679687,0.358968129148707,0.203999996185303,0.362073391443118
-1.63375891113281,0.666808569803834,0.303999990224838,0.669863482471555
-1.99081506347656,0.969428801909089,0.404000014066696,0.972450186964124
-2.54822119140625,1.27015239559114,0.504000008106232,1.27315695863217
-3.22390283203125,1.57020450569689,0.603999972343445,1.57320906873792
-3.9754189453125,1.87012227252126,0.703999996185303,1.87312683556229
-4.549875,2.07992037758231,0.804000020027161,2.08097789436579
-4.4940498046875,2.09977733902633,0.903999984264374,2.09915614686906
-3.15036352539063,1.93620554637164,1.00399994850159,1.93350319750607
-1.27531860351562,1.62831484340131,1.10399997234344,1.62524310871959
-0.104026275634766,1.32456992287189,1.2039999961853,1.32154859602451
0.207587677001953,1.02359463926405,1.30400002002716,1.02059007622302
0.251273712158203,0.723408244084567,1.40400004386902,0.720386917237192
0.374237731933594,0.423372926888987,1.50399994850159,0.420368363847956
0.450126556396484,0.123404737678356,1.60399997234344,0.12040018918924
0.733201293945313,-0.176479516085237,1.7039999961853,-0.179484064574353
1.13438684082031,-0.476397341117263,1.80400002002716,-0.479385111248121
1.61011706542969,-0.776399101596326,1.90400004386902,-0.779403664637357
2.12545166015625,-1.07640086207539,2.00399994850159,-1.07940542511642
2.7666689453125,-1.3763690367341,2.10400009155273,-1.37935683596879
3.63298901367187,-1.67633721139282,2.2039999961853,-1.67934177443385
4.74819384765625,-1.96824851445854,2.30399990081787,-1.97063200175762
5.367861328125,-2.10321834310889,2.40400004386902,-2.10355408489704
4.59841796875,-2.06222874112427,2.50399994850159,-2.06088600680232
1.74155847167969,-1.8263969104737,2.60400009155273,-1.82324124034494
0.467334350585938,-1.51917745824903,2.7039999961853,-1.51615613140166
0.332342803955078,-1.21790007688105,2.80399990081787,-1.21489551384002
0.239653549194336,-0.917831144761294,2.90400004386902,-0.914826581720263
0.142785461425781,-0.617879733908921,3.00399994850159,-0.614891992881894
-0.0110844831466675,-0.317911559250206,3.10400009155273,-0.314923789119348
-0.531105407714844,-0.0179937269422226,3.2039999961853,-0.015005962268333
-0.936454895019531,0.281806598650292,3.30399990081787,0.284794368781149
-1.31111389160156,0.581757980398834,3.40400004386902,0.584762543439865
-1.71623840332031,0.881776562891901,3.50399994850159,0.884781125932932
-2.2234208984375,1.181845436804,3.60400009155273,1.18483323603868
-2.88323828125,1.48189754690975,3.7039999961853,1.48488534614444
-3.6360263671875,1.78184895776212,3.80399990081787,1.78485352080315
-4.3835869140625,2.03906535170972,3.90400004386902,2.04071030020714
